Title,Years,Rating
1. The Shawshank Redemption,1994,9.3 (2.9M)
2. The Godfather,1972,9.2 (2M)
11. Forrest Gump,1994,8.8 (2.3M)
101. The Apartment,1960,8.3 (198K)
102. Incendies,2010,8.3 (204K)
103. North by Northwest,1959,8.3 (348K)
104. Citizen Kane,1941,8.3 (468K)
105. M,1931,8.3 (169K)
106. Scarface,1983,8.3 (923K)
107. Double Indemnity,1944,8.3 (168K)
108. Vertigo,1958,8.3 (430K)
109. Full Metal Jacket,1987,8.3 (795K)
110. Amélie,2001,8.3 (797K)
12. The Lord of the Rings: The Two Towers,2002,8.8 (1.8M)
111. Heat,1995,8.3 (724K)
112. Up,2009,8.3 (1.1M)
113. A Clockwork Orange,1971,8.3 (885K)
114. To Kill a Mockingbird,1962,8.3 (334K)
115. A Separation,2011,8.3 (260K)
116. The Sting,1973,8.3 (281K)
117. Indiana Jones and the Last Crusade,1989,8.2 (815K)
118. Die Hard,1988,8.2 (951K)
119. Like Stars on Earth,2007,8.3 (208K)
120. Metropolis,1927,8.3 (187K)
13. Fight Club,1999,8.8 (2.3M)
121. Snatch,2000,8.2 (915K)
122. 1917,2019,8.2 (684K)
123. L.A. Confidential,1997,8.2 (621K)
124. Hamilton,2020,8.3 (115K)
125. Bicycle Thieves,1948,8.3 (176K)
126. Taxi Driver,1976,8.2 (928K)
127. Downfall,2004,8.2 (377K)
128. Dangal,2016,8.3 (213K)
129. For a Few Dollars More,1965,8.2 (276K)
130. Batman Begins,2005,8.2 (1.6M)
14. Inception,2010,8.8 (2.6M)
131. The Wolf of Wall Street,2013,8.2 (1.6M)
132. Some Like It Hot,1959,8.2 (285K)
133. Green Book,2018,8.2 (580K)
134. The Kid,1921,8.2 (136K)
135. The Father,2020,8.2 (196K)
136. Judgment at Nuremberg,1961,8.3 (86K)
137. The Truman Show,1998,8.2 (1.2M)
138. All About Eve,1950,8.2 (139K)
139. Shutter Island,2010,8.2 (1.5M)
140. Top Gun: Maverick,2022,8.2 (712K)
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7 (1.4M)
141. There Will Be Blood,2007,8.2 (645K)
142. Casino,1995,8.2 (568K)
143. Jurassic Park,1993,8.2 (1.1M)
144. Ran,1985,8.2 (137K)
145. The Sixth Sense,1999,8.2 (1.1M)
146. Pan's Labyrinth,2006,8.2 (706K)
147. Unforgiven,1992,8.2 (438K)
148. No Country for Old Men,2007,8.2 (1.1M)
149. A Beautiful Mind,2001,8.2 (992K)
150. The Thing,1982,8.2 (470K)
16. The Matrix,1999,8.7 (2.1M)
151. Kill Bill: Vol. 1,2003,8.2 (1.2M)
152. The Treasure of the Sierra Madre,1948,8.2 (133K)
153. Yojimbo,1961,8.2 (132K)
154. Monty Python and the Holy Grail,1975,8.2 (573K)
155. The Great Escape,1963,8.2 (260K)
156. Finding Nemo,2003,8.2 (1.1M)
157. Prisoners,2013,8.2 (817K)
158. Howl's Moving Castle,2004,8.2 (454K)
159. Rashomon,1950,8.2 (182K)
160. The Elephant Man,1980,8.2 (260K)
17. Goodfellas,1990,8.7 (1.3M)
161. Dial M for Murder,1954,8.2 (190K)
162. Chinatown,1974,8.1 (352K)
163. Gone with the Wind,1939,8.2 (336K)
"164. Lock, Stock and Two Smoking Barrels",1998,8.1 (619K)
165. V for Vendetta,2005,8.2 (1.2M)
166. The Secret in Their Eyes,2009,8.2 (224K)
167. Inside Out,2015,8.1 (801K)
168. Raging Bull,1980,8.1 (382K)
"169. Three Billboards Outside Ebbing, Missouri",2017,8.1 (559K)
170. Trainspotting,1996,8.1 (729K)
18. One Flew Over the Cuckoo's Nest,1975,8.7 (1.1M)
171. The Bridge on the River Kwai,1957,8.1 (234K)
172. Klaus,2019,8.2 (192K)
173. Fargo,1996,8.1 (730K)
174. Catch Me If You Can,2002,8.1 (1.1M)
175. Spider-Man: No Way Home,2021,8.2 (890K)
176. Warrior,2011,8.1 (500K)
177. Gran Torino,2008,8.1 (818K)
178. Harry Potter and the Deathly Hallows: Part 2,2011,8.1 (954K)
179. Million Dollar Baby,2004,8.1 (725K)
180. My Neighbor Totoro,1988,8.1 (384K)
19. Se7en,1995,8.6 (1.8M)
181. Children of Heaven,1997,8.2 (81K)
182. 12 Years a Slave,2013,8.1 (744K)
183. Blade Runner,1982,8.1 (827K)
184. Ben-Hur,1959,8.1 (255K)
185. Before Sunrise,1995,8.1 (342K)
186. Barry Lyndon,1975,8.1 (184K)
187. The Grand Budapest Hotel,2014,8.1 (892K)
188. Mad Max: Fury Road,2015,8.1 (1.1M)
189. Gone Girl,2014,8.1 (1.1M)
190. Hacksaw Ridge,2016,8.1 (601K)
20. Interstellar,2014,8.7 (2.1M)
191. Dead Poets Society,1989,8.1 (552K)
192. The Gold Rush,1925,8.1 (119K)
193. Memories of Murder,2003,8.1 (219K)
194. In the Name of the Father,1993,8.1 (188K)
195. Wild Tales,2014,8.1 (218K)
"196. Monsters, Inc.",2001,8.1 (986K)
197. The Deer Hunter,1978,8.1 (364K)
198. The General,1926,8.1 (99K)
199. On the Waterfront,1954,8.1 (166K)
200. Sherlock Jr.,1924,8.2 (58K)
3. The Dark Knight,2008,9.0 (2.9M)
21. It's a Wonderful Life,1946,8.6 (502K)
201. How to Train Your Dragon,2010,8.1 (806K)
202. Jaws,1975,8.1 (665K)
203. Mary and Max,2009,8.1 (188K)
204. The Third Man,1949,8.1 (183K)
205. The Wages of Fear,1953,8.1 (67K)
206. Ratatouille,2007,8.1 (833K)
207. Wild Strawberries,1957,8.1 (116K)
208. Mr. Smith Goes to Washington,1939,8.1 (122K)
209. Ford v Ferrari,2019,8.1 (483K)
210. Tokyo Story,1953,8.1 (69K)
22. Seven Samurai,1954,8.6 (369K)
211. The Big Lebowski,1998,8.1 (865K)
212. Rocky,1976,8.1 (632K)
213. The Seventh Seal,1957,8.1 (200K)
214. Room,2015,8.1 (453K)
215. Logan,2017,8.1 (839K)
216. Spotlight,2015,8.1 (504K)
217. Hotel Rwanda,2004,8.1 (374K)
218. The Terminator,1984,8.1 (930K)
219. Platoon,1986,8.1 (442K)
220. The Passion of Joan of Arc,1928,8.1 (61K)
23. The Silence of the Lambs,1991,8.6 (1.6M)
221. La haine,1995,8.1 (198K)
222. Before Sunset,2004,8.1 (290K)
223. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1 (1.2M)
224. The Best Years of Our Lives,1946,8.1 (71K)
225. Jai Bhim,2021,8.7 (218K)
226. The Exorcist,1973,8.1 (458K)
227. Rush,2013,8.1 (517K)
228. Network,1976,8.1 (172K)
229. The Wizard of Oz,1939,8.1 (431K)
230. Stand by Me,1986,8.1 (445K)
24. Saving Private Ryan,1998,8.6 (1.5M)
231. The Incredibles,2004,8.0 (815K)
232. Hachi: A Dog's Tale,2009,8.1 (314K)
233. My Father and My Son,2005,8.2 (93K)
234. The Sound of Music,1965,8.1 (263K)
235. The Handmaiden,2016,8.1 (175K)
236. Into the Wild,2007,8.1 (661K)
237. To Be or Not to Be,1942,8.1 (43K)
238. The Battle of Algiers,1966,8.1 (66K)
239. The Grapes of Wrath,1940,8.1 (101K)
240. Groundhog Day,1993,8.0 (689K)
25. City of God,2002,8.6 (805K)
241. Amores Perros,2000,8.1 (254K)
242. The Iron Giant,1999,8.1 (230K)
243. Rebecca,1940,8.1 (148K)
244. Cool Hand Luke,1967,8.1 (190K)
245. The Help,2011,8.1 (496K)
246. It Happened One Night,1934,8.1 (113K)
247. Drishyam,2015,8.2 (96K)
248. Aladdin,1992,8.0 (471K)
249. Dances with Wolves,1990,8.0 (293K)
250. Scent of a Woman,1992,8.0 (332K)
26. Life Is Beautiful,1997,8.6 (747K)
27. The Green Mile,1999,8.6 (1.4M)
28. Terminator 2: Judgment Day,1991,8.6 (1.2M)
